,country,Total area of the country (excl. coastal water) (1000 ha),Rural population (1000 inhab),Urban population (1000 inhab),Population density (inhab/km2),GDP per capita (current US$/inhab),"Agriculture, value added (% GDP) (%)",Human Development Index (HDI) [highest = 1] (-),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Agricultural water withdrawal (10^9 m3/year),Industrial water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Municipal water withdrawal (km<sup>3</sup>/year or 10<sup>9</sup>m<sup>3</sup>/year),Total water withdrawal (10^9 m3/yr),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Agricultural water withdrawal as % of total water withdrawal (%),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),Flood occurrence (WRI) (-),Total population with access to safe drinking-water (JMP) (%),Rural population with access to safe drinking-water (JMP) (%),Urban population with access to safe drinking-water (JMP) (%),"Mortality rate, infant (per 1,000 live births)",Resilience and securityStorage drought duration index(Total dam capacity_km3)
86,Italy,0.017622302,0.01993056,0.04936563,0.025117654,0.198357919,0.023476401,0.875862069,0.006201871,0.004723723,0.024709302,0.036719123,0.119478478,0.044918823,0.114526529,0.499826925,0.007783826,0.039969492,0.016099294,0.000960804,0.530612245,1,1,1,0.013853904,0.011940026
87,Jamaica,0.000641002,0.001450374,0.001889839,0.033235076,0.030229523,0.079985924,0.606896552,0.007288648,5.32E-05,0.000165698,0.005245589,0.001743108,0.001772679,0.093912656,0.084631221,0.003232328,0.006920984,0.029973443,0,0.714285714,0.909224012,0.88377193,0.949290061,0.129722922,6.48E-06
88,Japan,0.022104055,0.012135595,0.138367482,0.042251517,0.228896578,0.014097058,0.931034483,0.006633722,0.007041218,0.079113372,0.055364807,0.194064364,0.107024356,0.130070478,0.671725239,0.009691279,0.044723667,0.013023226,0.002181533,0.612244898,1,1,1,0.002518892,0.037401375
89,Jordan,0.005222181,0.001009639,0.010432345,0.013553026,0.024648837,0.066788204,0.601724138,0.000188343,0.000801366,0.00080625,0.000154983,0.005734372,0.001365449,0.020281206,0.53402365,0.025983845,0.028491359,0.037714456,0.006311817,0.612244898,0.954612006,0.915570175,0.955375254,0.14861461,0.0003267
90,Kazakhstan,0.159365829,0.008734396,0.01236896,0.000585161,0.054552536,0.054374741,0.75862069,0.011794478,0.126132021,0.021976744,0.033304721,0.029539638,0.032123733,0.277298077,0.621583656,0.008079492,0.00568249,0.00070207,0.000135482,0.346938776,0.896046852,0.842105263,0.987829615,0.09697733,0.095004585
91,Kenya,0.033941545,0.04104569,0.015646078,0.010651832,0.008928791,0.421257829,0.346551724,0.001202431,0.014077637,0.004700581,0.001444921,0.006214231,0.005291756,0.014832123,0.806239206,0.008625553,0.008480304,0.004002795,0.000682737,0.775510204,0.461200586,0.526315789,0.626774848,0.381612091,0.029453484
92,Kiribati,4.56E-05,6.12E-05,6.53E-05,0.017506276,0.008987094,0.291378471,0.431034483,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.515373353,0.458333333,0.742393509,0.48488665,0.051617935
93,Kuwait,0.001040459,0,0.004896956,0.028427354,0.173360663,0.005877222,0.751724138,9.70E-06,0.037034498,0.001131395,0.000111111,0.005626058,0.001636016,0.061852422,0.625946529,1,0.083742022,0.013093612,0.054900291,0.12244898,0.985358712,0.989035088,0.979716024,0.065491184,0.051617935
94,Kyrgyzstan,0.011692445,0.004341686,0.00258213,0.003649504,0.007059957,0.151174886,0.513793103,0.007505497,0.108620119,0.010319767,0.001602289,0.002801064,0.010059199,0.253602806,0.931695505,0.012988408,0.000522743,0.001899108,6.80E-05,0.428571429,0.853587116,0.848684211,0.93306288,0.243424166,0.028009317
95,Lao People's Democratic Republic,0.01384764,0.005061954,0.002786764,0.003448679,0.014182889,0.195778113,0.394827586,0.094347344,0.04356851,0.010203488,0.000810682,0.001617161,0.009612415,0.215482896,0.96398539,0.001232158,0.001268018,0.002139496,0.000374497,0.795918367,0.644216691,0.664473684,0.707910751,0.243424166,0.012620235
96,Latvia,0.003774662,0.000699982,0.001565677,0.003556315,0.092868335,0.041700141,0.820689655,0.035225105,0.014692977,8.94E-05,0.000120172,0.001168789,0.000231408,0.017418353,0.341350927,0.000270027,0.108299944,0.000240557,0.003918157,0.367346939,0.989751098,0.981359649,0.995943205,0.018891688,0.001194288
97,Lebanon,0.00060942,0.000791489,0.006369757,0.081969442,0.052238207,0.035100645,0.618965517,0.00129887,0.000953703,0.001017442,0.004291845,0.003002579,0.002411317,0.053938087,0.382405947,0.015261905,0.020839457,0.024763185,0.000105428,0.571428571,0.985358712,0.989035088,0.979716024,0.057934509,0.000270943
98,Lesotho,0.001773869,0.001815119,0.00072621,0.008429059,0.006339941,0.062290836,0.243103448,0.00284209,0.039187992,5.52E-06,9.54E-05,0.000231743,5.10E-05,0.002588034,0.087207514,0.000659259,0.040215596,0.000278821,0.000672411,0.673469388,0.733528551,0.747807018,0.890466531,0.837531486,0.003414588
99,Liberia,0.006511789,0.002623604,0.002836529,0.005068861,0.002118088,1,0.160344828,0.097049375,0.001447403,1.79E-05,0.000254649,0.000989944,0.000185152,0.0046691,0.084741128,6.15E-05,0.003226395,0.00059926,2.31E-05,0.387755102,0.642752562,0.589912281,0.768762677,0.763224181,0.000283539
100,Libya,0.102906033,0.001446852,0.006025279,0.000220397,0.023112849,0.009644352,0.570689655,0.000209234,0.001690017,0.007049419,0.001335241,0.008796147,0.007654452,0.181055936,0.836214328,0.212211722,0.002944729,0.000287268,0.001083403,0,0.578330893,0.652412281,0.434077079,0.104534005,0.000463324
102,Lithuania,0.003816538,0.001055871,0.002305816,0.005240487,0.098851746,0.042163384,0.85,0.016936703,0.004964297,8.56E-05,0.00033238,0.001622199,0.000333774,0.017047808,0.228591434,0.000477836,0.120668167,0.000588721,0.003151828,0.489795918,0.950219619,0.894736842,0.993914807,0.017632242,0.000588469
103,Luxembourg,0.000149723,6.08E-05,0.000619544,0.028543483,0.661648893,0.002663071,0.922413793,0.011631096,0.002987849,5.81E-07,7.63E-06,0.000528978,5.34E-05,0.014162352,0.00881738,0.000974854,1,0,0.083924609,0.632653061,1,1,1,0.007556675,7.37E-05
104,Madagascar,0.034346558,0.018254121,0.011066111,0.005234898,0.002490761,0.296849179,0.25,0.025923804,0.000550472,0.018895349,0.000772055,0.00495476,0.017808133,0.107656686,0.963889791,0.002939182,0.000446631,0.001846248,0.000267478,0.530612245,0.289897511,0.290570175,0.626774848,0.439546599,0.000586401
105,Malawi,0.006927622,0.01744177,0.003682764,0.018540052,0.001440715,0.340736839,0.187931034,0.001923582,6.74E-05,0.001694767,0.000227468,0.001782152,0.001776359,0.014109929,0.86382772,0.004539025,0.002378249,0.000613383,0.000356646,0.673469388,0.856515373,0.880482456,0.912778905,0.369017632,4.96E-05
106,Malaysia,0.019345289,0.008732195,0.028284526,0.011596232,0.060108655,0.103928522,0.739655172,0.036678451,0.020588146,0.003640988,0.007825465,0.016881952,0.007205041,0.034670752,0.458815465,0.000886136,0.044911575,0.017514123,0.001515212,0.632653061,0.973645681,0.923245614,1,0.071788413,0.026678588
107,Maldives,1.58E-05,0.000297456,0.000195588,0.2082285,0.064734675,0.064724906,0.59137931,0.000118876,0,0,1.43E-06,5.04E-05,1.18E-06,0.000719535,0,0.004061637,0.038222295,0.022992088,0.032406751,0.549604813,0.979502196,0.976973684,0.989858012,0.061712846,0
108,Mali,0.072531527,0.012183432,0.009132349,0.001629903,0.004380873,0.457597175,0.09137931,0.012750466,0.021255968,0.007376453,1.91E-05,0.001327483,0.006808192,0.056066667,0.983666667,0.002071341,0.00124819,0.000766812,0.015030521,0.530612245,0.663250366,0.606359649,0.929006085,0.738035264,0.016393234
109,Malta,1.70E-05,2.64E-05,0.000474857,0.172177424,0.177978684,0.00929935,0.879310345,0.000226826,0,3.69E-05,4.77E-06,0.000450891,7.73E-05,0.02832575,0.400181916,0.022106655,0.134778028,0.026295138,0.027212519,0,1,1,1,0.056675063,0
110,Marshall Islands,8.77E-06,1.40E-05,4.01E-05,0.04038792,0.022930836,0.200102944,0.556896552,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.920937042,0.973684211,0.868154158,0.312342569,0.051617935
111,Mauritania,0.060279374,0.002345073,0.002760581,0.000272683,0.009007939,0.257306576,0.260344828,0.005236108,0.003330337,0.001777616,0.000151645,0.001181384,0.001767686,0.063317358,0.910484956,0.003433026,0.002977169,0.005815906,0.001044388,0.510204082,0.383601757,0.529605263,0.156186613,0.610831234,0.000594173
112,Mauritius,0.000117556,0.000841685,0.000604538,0.07784702,0.062485378,0.037173131,0.724137931,0.004279375,0.002094978,0.0005,5.72E-05,0.003254474,0.000802896,0.098778954,0.561335038,0.005751582,0.014253974,0.006227384,0.003552053,0.549604813,0.998535871,0.997807018,0.997971602,0.159949622,0.000110362
113,Mexico,0.114886228,0.029244304,0.122318154,0.007752324,0.053374241,0.040625046,0.675862069,0.007281306,0.034812524,0.097093023,0.032494039,0.179202604,0.115426514,0.143522174,0.764379058,0.008550191,0.010433254,0.004325141,0.001073662,0.591836735,0.942898975,0.913377193,0.943204868,0.133501259,0.180963718
115,Monaco,0.041190262,0,3.77E-05,0.024293189,1,0.136360489,0.580070449,0.03530947,0.037034498,0,0,4.28E-05,0,0.025138233,0,0.017892015,0.038222295,0.022992088,0.010387795,0.571428571,1,0.812739128,1,0.011335013,0.051617935
116,Mongolia,0.091476551,0.001094263,0.002485123,0,0.021769119,0.124924024,0.613793103,0.021983596,0.002290202,0.00036468,0.000792561,0.000550389,0.000601055,0.028906869,0.545415225,0.000874584,0.018067214,0.009166222,0.000546892,0.265306122,0.478770132,0.552631579,0.318458418,0.14861461,0.000297087
117,Montenegro,0.000805932,0.000237115,0.000487636,0.005474688,0.045875779,0.082659671,0.75862069,0.03530947,0.046725977,2.47E-06,0.000299475,0.001193979,0.000204863,0.051166935,0.010620313,0.017892015,0.016915005,0.804755749,0.00011594,0.714285714,0.995607613,0.99122807,1,0.005037783,0.00122162
118,Morocco,0.026114999,0.015309966,0.026228636,0.00978844,0.017870047,0.149291181,0.520689655,0.00160319,0.014396972,0.01330814,0.001010968,0.013368028,0.013700484,0.058753835,0.882316213,0.013173387,0.006747111,0.007482426,0.002618597,0.591836735,0.786237189,0.619517544,0.973630832,0.210327456,0.021340901
119,Mozambique,0.04675048,0.021535568,0.012465388,0.004264689,0.002070954,0.302822855,0.118965517,0.014905905,0.073815125,0.001563953,0.000119218,0.004665081,0.001929053,0.00887558,0.73426689,0.000447748,0.00607926,0.001031081,0.00309204,0.612244898,0.284040996,0.309210526,0.606490872,0.670025189,0.088099902
120,Myanmar,0.039571371,0.041820542,0.01918184,0.009689454,0.006888888,0.282138417,0.351724138,0.043030623,0.008298412,0.042979651,0.002376729,0.041832077,0.043872036,0.127326743,0.890145739,0.001499571,0.001289681,0.002965471,0.001026957,0.653061224,0.715959004,0.719298246,0.851926978,0.430730479,0.018455015
121,Namibia,0.048207357,0.001453086,0.001464234,0.000116422,0.031622232,0.083882564,0.465517241,0.032674018,0.008411922,0.000292151,6.68E-05,0.000899262,0.000371882,0.022999254,0.701532815,0.000216624,0.028672832,0.001170542,0.004656176,0.428571429,0.868228404,0.831140351,0.963488844,0.366498741,0.000841982
123,Nepal,0.008606159,0.026583586,0.006711122,0.023404284,0.004645195,0.327520249,0.346551724,0.014962975,8.81E-05,0.013546512,0.000140677,0.001838828,0.012473275,0.069179682,0.986436929,0.002151525,0.001580184,0.010638276,0.001964141,0.918367347,0.877013177,0.910087719,0.815415822,0.302267003,0.000101366
124,Netherlands,0.002185023,0.001709503,0.018390594,0.057106539,0.294071736,0.022162186,0.963793103,0.010516125,0.015474569,0.000111192,0.070290892,0.015849186,0.021119061,0.193140404,0.004783154,0.00393184,0.036049341,1,0.000146665,0.510204082,1,1,1,0.023929471,0.010973188
125,New Zealand,0.015655431,0.000716242,0.004816791,0.001962127,0.262186577,0.070083801,0.943103448,0.136795006,0.102448911,0.004661337,0.005646161,0.010181565,0.006827903,0.22648821,0.619807072,0.002083027,0.027116167,0.050489848,0.000571392,0.346938776,1,1,1,0.028967254,0.020068432
126,Nicaragua,0.007623016,0.002915826,0.004290122,0.00591972,0.012793045,0.182130464,0.482758621,0.050684659,0.142986901,0.001722384,0.000350978,0.003581936,0.002023141,0.048180973,0.771163988,0.000692118,0.005534933,0.003768741,0.000841798,0.734693878,0.80966325,0.664473684,0.985801217,0.159949622,0.038033563
127,Niger,0.074099526,0.020204189,0.004155729,0.00189738,0.002519658,0.435516629,0,0.003100443,0.000123652,0.002232558,0.000171674,0.002233042,0.002294233,0.014990238,0.881808527,0.001928719,0.002789826,7.36E-05,0.001155982,0.693877551,0.387994143,0.436403509,1,0.568010076,0.000111281
128,Nigeria,0.054025507,0.108366487,0.112080215,0.025782637,0.011239967,0.25200619,0.275862069,0.002949394,0.007571823,0.008008721,0.009370529,0.06295341,0.016386441,0.011752208,0.443971882,0.002503789,0.025079014,0.003845651,0.001120844,0.632653061,0.538799414,0.531798246,0.610547667,0.914357683,0.060209616
130,North Macedonia,0.001501911,0.000989828,0.001418346,0.009952191,0.032066183,0.094995804,0.663793103,0.00604656,0.03137323,0.000478514,0.001076822,0.003474881,0.001087428,0.080770867,0.397492675,0.00655472,0.0081708,0.011982951,0.000159774,0.673469388,0.991215227,0.987938596,0.995943205,0.046599496,0.002721194
131,Norway,0.022527374,0.001081642,0.005142467,0.001481503,0.45147266,0.023625131,1,0.145957393,0.179237927,0.001228052,0.005107296,0.009744529,0.003529852,0.103106928,0.315575847,0.000524356,0.105312653,0.018906999,0.002148617,0.265306122,1,1,1,0.005037783,0.039548039
132,Oman,0.018099545,0.000857181,0.004585699,0.001648626,0.102332565,0.026188153,0.793103448,0.000590199,0.000540304,0.002335756,0.000643777,0.001617161,0.002453367,0.081046638,0.862888047,0.03030455,0.030244664,0.015980496,0.005600088,0.387755102,0.903367496,0.847587719,0.90872211,0.103274559,0.000105026
133,Pakistan,0.046558648,0.140820847,0.085127643,0.032653316,0.008650369,0.276645087,0.318965517,0.002334995,0.003815298,0.250581395,0.006676204,0.121518822,0.241059402,0.180323122,0.944634856,0.031856976,0.001013685,0.005270708,0.000696934,0.795918367,0.874084919,0.889254386,0.876267748,0.681360202,0.033045799
134,Palau,2.51E-05,5.04E-06,1.23E-05,0.004626796,0.078718622,0.038489815,0.755172414,0,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.931185944,0.846491228,0.939148073,0.17884131,0.051617935
135,Palestine,0.000350329,0.001333969,0.004420272,0.099105206,0.019120227,0.084921227,0.544827586,0.000346812,0,0.000235465,0.000152599,0.00226201,0.000486468,0.01457436,0.434006872,0.010661252,0.02830045,0.105023407,0.001758267,0.612244898,0.390922401,0.797149123,0,0.243424166,0
136,Panama,0.004396364,0.001504222,0.003265856,0.006629884,0.090876498,0.028236286,0.724137931,0.066722386,0.063464478,0.000648401,2.96E-05,0.009540495,0.001585293,0.059128613,0.370159649,0.000226888,0.037933677,0.00526596,0.0577886,0.571428571,0.922401171,0.875,0.953346856,0.141057935,0.010858037
137,Papua New Guinea,0.02706773,0.008063358,0.001273797,0.002046176,0.015444881,0.222718763,0.293103448,0.18672368,0,1.45E-06,0.000799237,0.002794767,0.000508676,0.007854839,0.002563584,2.72E-05,0.038222295,0.022992088,0.000789964,0.326530612,0.121522694,0.263157895,0.756592292,0.431989924,0
138,Paraguay,0.023787388,0.002964375,0.004942962,0.001876295,0.033867747,0.124141135,0.601724138,0.111073782,0.139274723,0.002757267,0.000734382,0.004539134,0.003164278,0.070767718,0.790231668,0.000469541,0.010990181,0.002626503,0.00140417,0.673469388,0.970717423,0.944078947,1,0.188916877,0.039844056
139,Peru,0.075165134,0.008059306,0.029635829,0.002831761,0.038827978,0.081330169,0.660344828,0.11759206,0.005236847,0.019040698,0.000985217,0.035207259,0.021154673,0.103933303,0.817697636,0.000772265,0.008867111,0.006841542,0.006068445,0.571428571,0.805270864,0.662280702,0.825557809,0.109571788,0.006860127
140,Philippines,0.017543931,0.062909073,0.058070609,0.043919788,0.017384556,0.116666678,0.579310345,0.008958593,0.001927005,0.098793605,0.075584168,0.112438034,0.121872023,0.180220458,0.736635178,0.007356966,0.002602822,0.002976205,7.73E-05,0.816326531,0.879941435,0.893640351,0.872210953,0.251889169,0.008443199
141,Poland,0.018286699,0.017125554,0.027197062,0.015041412,0.082409788,0.0330193,0.853448276,0.003135562,0.002221591,0.001479651,0.033547926,0.025521925,0.01324056,0.053070942,0.101505268,0.009054348,0.035525872,0.002658467,0.0003449,0.551020408,0.97510981,0.966008772,0.985801217,0.027707809,0.003512632
142,Portugal,0.005392117,0.004106204,0.007910889,0.013804874,0.128403093,0.02507038,0.818965517,0.014797761,0.032251501,0.012742733,0.00713877,0.011492675,0.014682225,0.222432984,0.788365185,0.004765411,0.012985532,0.003248456,0.00044473,0.489795918,1,1,1,0.018891688,0.013823673
143,Puerto Rico,0.000517013,0.000264186,0.004057031,0.044687602,0.170724182,0.009540019,0.580070449,0.004414442,0.037034498,0.000164971,0.011278016,0.010005239,0.004296349,0.211821721,0.034841375,0.005066434,0.024655372,0.032849148,0.000400098,0.549604813,0.906295754,0.929824561,0.870182556,0.243424166,0.051617935
144,Qatar,0.000670245,2.74E-05,0.003092568,0.029627335,0.380173799,0.001950722,0.818965517,4.19E-05,0.037034498,0.000423983,0.000685265,0.005990045,0.001192649,0.067372605,0.32129235,0.112294359,0.156807887,0.018751698,0.014106008,0,1,1,1,0.050377834,0.051617935
145,Republic of Korea,0.005864938,0.01060478,0.04926478,0.063928763,0.191151298,0.022103616,0.915517241,0.002683185,0.010514471,0.023197674,0.021220792,0.084011768,0.035581048,0.107623779,0.592374799,0.022125696,0.042795147,0.027868749,0.002422752,0.714285714,0.964860908,0.867324561,0.993914807,0.243424166,0.022381964
146,Republic of Moldova,0.001977984,0.002617073,0.002036244,0.014859865,0.013758431,0.138558989,0.579310345,0.00594512,0.007922221,6.10E-05,0.003099666,0.001843866,0.001097248,0.040958749,0.050259067,0.003232478,0.006062371,0.01154688,5.21E-06,0.775510204,0.830161054,0.796052632,0.937119675,0.243424166,0.00133986
147,Romania,0.013941217,0.010194368,0.012578344,0.010136285,0.064151382,0.051909383,0.75862069,0.021218483,0.016055421,0.002167151,0.020190749,0.013179107,0.00889362,0.069369804,0.221279402,0.001639726,0.020707413,0.004731277,0.000215572,0.755102041,1,1,1,0.05163728,0.01314596
148,Russian Federation,1,0.041628915,0.126840672,0.000821563,0.065510417,0.042603764,0.774137931,0.061166943,0.157107524,0.027122093,0.133714831,0.223032202,0.084632619,0.089584943,0.291207638,0.001056681,0.01518718,0.000976224,0.000249098,0.408163265,0.954612006,0.903508772,0.977687627,0.041561713,0.952511195
149,Rwanda,0.001538757,0.011378174,0.002471052,0.057058674,0.003893896,0.374426984,0.268965517,0.002183576,0,0.000148256,9.78E-05,0.000753164,0.000235087,0.001434213,0.557523096,0.001574341,0.025653225,0.001976051,0.001340995,0.734693878,0.650073206,0.691885965,0.728194726,0.311083123,0
150,Saint Kitts and Nevis,1.35E-05,4.31E-05,1.20E-05,0.024969832,0.107835118,0.01312948,0.69137931,0.000907069,0.037034498,2.91E-07,0,0.000173807,1.39E-05,0.060111591,0.01288694,0.013194715,0.038222295,0.007864826,0.010387795,0.549604813,0.97510981,0.981359649,0.965517241,0.243424166,0.051617935
151,Saint Lucia,3.45E-05,0.000163691,3.13E-05,0.036522019,0.060544534,0.01774826,0.639655172,0.003261079,0.000409853,4.42E-05,0,0.000137282,4.98E-05,0.047182409,0.712296339,0.003706702,0.038222295,2.68E-05,0.010387795,0.734693878,0.945827233,0.951754386,0.989858012,0.243424166,3.09E-06
152,Saint Vincent and the Grenadines,2.11E-05,5.96E-05,5.93E-05,0.035230125,0.042785586,0.083623836,0.60862069,0.001791015,0.037034498,0,9.54E-09,8.69E-05,4.60E-06,0.014239501,0,0.002044568,0.038222295,0.022992088,1,0.734693878,0.928257687,0.94627193,0.900608519,0.243424166,0.051617935
153,Samoa,0.000164345,0.000180152,3.48E-05,0.008415805,0.024658313,0.124096945,0.574137931,0,0.001460174,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.985358712,0.992324561,0.949290061,0.14231738,1.19E-05
155,Sao Tome and Principe,5.44E-05,6.44E-05,0.000166209,0.026928366,0.01015758,0.145987936,0.396551724,0.020706549,0.005371928,3.72E-05,2.86E-06,0.000164991,4.72E-05,0.039016594,0.629159963,0.000480123,0.005972532,0.005298267,0.001625231,0.549604813,0.957540264,0.929824561,0.977687627,0.27581864,4.63E-05
156,Saudi Arabia,0.125724198,0.006066676,0.032653242,0.001689249,0.125246761,0.030306471,0.832758621,0.000142619,0.000865244,0.027906977,0.004768717,0.039653192,0.030676943,0.143812437,0.826530273,0.229401943,0.022994379,0.015261137,0.006287543,0.244897959,0.956076135,0.967105263,0.939148073,0.05163728,0.00119317
157,Senegal,0.011502952,0.009493753,0.008776957,0.009625389,0.00734198,0.1821496,0.236206897,0.004971328,0.000462484,0.003001453,0.000276586,0.00121413,0.002911977,0.027986418,0.934578785,0.003059322,0.005526317,0.001467162,0.001571121,0.510204082,0.685212299,0.641447368,0.855983773,0.391687657,0.000297087
158,Serbia,0.005166035,0.004355495,0.005823151,0.012339514,0.037147258,0.07257477,0.725862069,0.036134055,0.007333088,0.000960465,0.019346686,0.008286061,0.007059573,0.123921239,0.123523671,0.001566694,0.004679696,0.002146237,1.02E-06,0.714285714,0.988286969,0.987938596,0.987829615,0.037783375,0.002697427
159,Seychelles,2.51E-05,4.66E-05,5.50E-05,0.026158118,0.094914103,0.022788017,0.736206897,0,0.000295845,1.31E-06,1.81E-05,9.32E-05,1.14E-05,0.027584062,0.066033811,0.017892015,0.073001668,0.129033102,0.00071022,0.549604813,0.93704246,0.952850877,0.912778905,0.134760705,1.19E-06
160,Sierra Leone,0.004226756,0.004960219,0.003722977,0.012798943,0.002367225,0.729432922,0.106896552,0.042027917,0.000838021,6.64E-05,0.000264664,0.001377862,0.000272275,0.004113921,0.216478735,0.000121634,0.006552418,0.002060239,4.28E-05,0.326530612,0.452415813,0.427631579,0.693711968,0.998740554,0.000261436
161,Singapore,4.03E-05,0,0.006761419,1,0.354439729,0,0.967241379,0.000206763,0.000374298,3.83E-05,0.001603691,0.003717077,0.000859927,0.022102303,0.040207254,0.021293288,0.038222295,0.022992088,0.004603737,0.591836735,1,0.812739128,1,0.006297229,8.90E-05
162,Slovakia,0.002865795,0.002833356,0.003464106,0.01374885,0.104903278,0.028699214,0.829310345,0.018089096,0.009040873,4.59E-05,0.001102527,0.003676397,0.000724446,0.019335777,0.057098203,0.000614541,0.119553276,0.03890592,0.002197846,0.775510204,1,1,1,0.243424166,0.002051917
163,Slovenia,0.001183538,0.001069597,0.001330458,0.012657916,0.139947517,0.022126141,0.906896552,0.030191212,0.000460212,5.67E-06,0.003614688,0.002114652,0.001217354,0.090818199,0.004208941,0.001628385,0.034687216,0.07225295,0.000293875,0.714285714,0.992679356,0.993421053,0.993914807,0.001259446,3.98E-05
164,Solomon Islands,0.00168848,0.000527411,0.000160646,0.002522091,0.011195434,0.322553597,0.313793103,0.138239461,0.037034498,0.02321838,0.017546045,0.032869528,0.0292855,0.089683368,0.532361007,0.017892015,0.038222295,0.022992088,0.010387795,0.549604813,0.718887262,0.75,0.862068966,0.191435768,0.051617935
165,Somalia,0.037292186,0.009219483,0.007752231,0.002631828,0,0.639741958,0.580070449,0.001981959,0,0.004768895,9.54E-06,0.000168769,0.004327229,0.044908927,1,0.006362932,0,0.000572644,0.001022959,0.775510204,0,0,0.38336714,0.911838791,0
166,South Africa,0.07129748,0.021782093,0.044279519,0.005641194,0.036434656,0.0282824,0.570689655,0.001771738,0.015521778,0.016555233,0.019551741,0.048973279,0.025460088,0.068406155,0.590764476,0.016109262,0.011844981,0.002908226,0.000343714,0.571428571,0.900439239,0.796052632,0.99188641,0.326196474,0.036864724
167,South Sudan,0.037682285,0.011406473,0.002876768,0.001882699,0.003036934,0.034146236,0.070689655,0.008923975,0.037034498,0.000348837,0.001072961,0.002410628,0.000858087,0.010710243,0.366631494,0.001090419,0.01554786,0.000508915,0.000542884,0.510204082,0.395314788,0.527412281,0.324543611,0.765743073,0.051617935
168,Spain,0.029588181,0.010384328,0.04400945,0.011365895,0.169859131,0.033614207,0.893103448,0.004701705,0.03290751,0.029593023,0.028450167,0.061567991,0.04101341,0.136338728,0.655609054,0.01104827,0.029307,0.008744349,0.000736564,0.551020408,1,1,1,0.012594458,0.063950369
169,Sri Lanka,0.003835487,0.019161638,0.004543041,0.040322419,0.024771188,0.093893984,0.694827586,0.004915675,0.00802225,0.016438953,0.003962804,0.010118592,0.017005368,0.124691672,0.878155495,0.023570605,0.004600407,0.004640447,0.000550546,0.755102041,0.935578331,0.945175439,0.969574037,0.056675063,0.007061152
170,Sudan,0.10991378,0.029916263,0.016511647,0.002485348,0.017809342,0.30553261,0.231034483,0.001821786,0.014837812,0.037659884,0.000357654,0.011944825,0.03538788,0.134433244,0.966929597,0.030808931,0.002012456,0.003676834,0.004294823,0.673469388,0.348462665,0.453947368,0.310344828,0.496221662,0.025228587
171,Suriname,0.00957936,0.000215162,0.000433045,0.000187945,0.03369001,0.139796551,0.601724138,0.341342879,1,0.000626599,0.000646161,0.000600768,0.000802765,0.22101434,0.703577981,0.001018878,0.005489817,0.019049653,0.000181373,0.285714286,0.9238653,0.872807018,0.961460446,0.182619647,0.023766922
172,Sweden,0.026166466,0.001432657,0.010233358,0.002538349,0.327749055,0.017171496,0.968965517,0.034554736,0.103557199,0.000109012,0.006413925,0.012007799,0.003114344,0.047740228,0.031742569,0.000882926,0.158804444,0.065834861,0.001619982,0.081632653,1,1,1,0.006297229,0.042731737
173,Switzerland,0.002413139,0.002501119,0.007405459,0.02555137,0.482346507,0.007729541,0.982758621,0.01244535,0.011278959,0.000232703,0.003064855,0.011705526,0.002271763,0.040572906,0.092818972,0.001710324,0.319688189,0.072963763,0.005474175,0.653061224,1,1,1,0.025188917,0.003973235
174,Syrian Arab Republic,0.010828613,0.009553901,0.011582357,0.011380869,0.003732375,0.249074382,0.294827586,0.001933227,0.032786785,0.021322674,0.002934669,0.018557049,0.022017753,0.200547036,0.879812556,0.032290243,0.000641074,0.001791758,0.000148612,0.551020408,0.855051245,0.859649123,0.843813387,0.205289673,0.023351
175,Tajikistan,0.008266942,0.007325776,0.002846237,0.007663044,0.004218854,0.256519959,0.479310345,0.004853159,0.094774642,0.015174419,0.001944683,0.008128627,0.015098391,0.265340129,0.912942658,0.017845553,0.000399312,0.002898587,8.15E-05,0.755102041,0.616398243,0.634868421,0.860040568,0.352644836,0.035062151
176,Thailand,0.030008387,0.039440392,0.040269479,0.016743325,0.039090537,0.100449555,0.670689655,0.012465771,0.032654989,0.075276163,0.013242728,0.034476765,0.075297472,0.169106191,0.908427424,0.005969784,0.005763399,0.006448445,0.001037589,0.755102041,0.967789165,0.978070175,0.951318458,0.076826196,0.094153729
